apellidosnombre;;;edad;;;procedencia;;;oficio;;;lugarfallecimiento;;;fechafallecimiento
Algarra del Saz, Amador;;;25;;;Buendía (Cuenca);;;-;;;Gusen - Campo de concentración (Austria);;;13 de agosto de 1942
Algarrada Moreno, Juan;;;43;;;Palma del Río (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;17 de febrero de 1941
Aliaga Cánovas, Francisco;;;25;;;Murcia;;;-;;;Gusen (campo exterminio) Austria;;;14 de noviembre de 1941
Aliaga Flor, José;;;39;;;Viver (Castellón);;;-;;;Gusen - Campo de concentración (Austria);;;28 de junio de 1941
Alloza Gascón, Bernardino;;;41;;;Alcorisa (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;1 de septiembre de 1941
Allué Arnal, Valentín;;;26;;;Planillo-Fiscal (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;12 de diciembre de 1941
Allué López, Martín;;;24;;;Linás de Broto (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;23 de diciembre de 1941
Alluera Millan, Josep;;;24;;;Figueres (Girona);;;-;;;Mauthausen - Gusen (Austria) - campo nazi;;;16 de noviembre de 1941
Almagro Coll, Pedro;;;22;;;San Roque (Cádiz);;;-;;;Dachau;;;23 de marzo de 1945
Almagro de Ruiz, José;;;24;;;Jaén ;;;-;;;Gusen - Campo de concentración (Austria);;;7 de enero de 1942
Almazán García, Juan;;;43;;;Alhendín (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;20 de julio de 1941
Almeida Martínez, Librado;;;34;;;Olivenza (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;12 de enero de 1942
Almenar Vives, Miguel;;;25;;;Valencia;;;-;;;Gusen - Campo de concentración (Austria);;;1 de agosto de 1941
Almozara Sánchez, José Luis;;;30;;;Cádiz;;;-;;;Hartheim (Austria);;;25 de septiembre de 1941
Alom Prats, Francisco;;;32;;;Tordera (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;9 de diciembre de 1941
Alonso Alonso, Cirilo;;;42;;;Tartanedo (Guadalajara);;;-;;;Gusen - Campo de concentración (Austria);;;29 de octubre de 1941
Alonso Alonso, María;;;33;;;Santa Fe de Mondújar (Almería);;;-;;; Auschwitz II - Birkenau;;;27 de febrero de 1943
Alonso Herranz, Julián;;;32;;;Tartanedo (Guadalajara);;;-;;;Gusen - Campo de concentración (Austria);;;12 de noviembre de 1941
Alonso Losada, Andrés;;;34;;;Ribas de Sil - Peites (Lugo);;;-;;;Gusen - Campo de concentración (Austria);;;6 de enero de 1942
Alonso Millán, Timeteo;;;41;;;Rebolledo de la Torre (Burgos);;;-;;;Hartheim;;;17 de diciembre de 1941
Alonso Pacheco, Francisco  ;;;35;;;Villafufre (Cantabria);;;-;;;Gusen - Campo de concentración (Austria);;;28 de febrero de 1941
Alonso Rodríguez, Mariano;;;29;;;Almoguera (Guadalajara);;;-;;;Mauthausen;;;15 de octubre de 1942
Alós García, Sebastián;;;35;;;Escañuela (Jaén);;;-;;;Gusen - Campo de concentración (Austria);;;21 de diciembre de 1941
Alós Vidaller, Joaquín;;;29;;;Foradada del Toscar - Morillo de Liena (Huesca);;;-;;;Mauthausen - Campo de concentración (Austria);;;30 de abril de 1944
Aloy Montblanch, Benito;;;32;;;Olvan;;;-;;;Gusen - Campo de concentración (Austria);;;20 de enero de 1942
Alquézar Celma, Domingo;;;39;;;Osera de Ebro (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;4 de diciembre de 1941
Alsina Amorós, Josep;;;33;;;Tarragona;;;-;;;Gusen - Campo de concentración (Austria);;;31 de julio de 1942
Altarriba Bosoms, Celestino;;;43;;;Gironella (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;20 de julio de 1941
Altés Fava, Pedro;;;31;;;Mas de Barberans (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;12 de enero de 1942
Altesa Oró, Ramon;;;31;;;Ripoll (Girona);;;-;;;Mauthausen -Gusen (Austria) - campo nazi ;;;22 de abril de 1942
