apellidosnombre;;;edad;;;procedencia;;;oficio;;;lugarfallecimiento;;;fechafallecimiento
García Pérez. José;;;32;;;Santa Fe de Mondújar (Almería);;;-;;;Gusen - Campo de concentración (Austria);;;31 de octubre de 1941
García Pina, Pedro Jesús;;;27;;;Albacete;;;-;;;Gusen - Campo de concentración (Austria);;;2 de diciembre de 1941
García Pomares, José;;;26;;;Jumilla (Murcia);;;-;;;Gusen (campo exterminio) Austria;;;6 de julio de 1942
García Pomares, Juan;;;29;;;Jumilla (Murcia);;;-;;;Gusen (campo exterminio) Austria;;;12 de agosto de 1941
García Pompa, Timoteo;;;30;;;Batres (Madrid);;;-;;;Gusen - Campo de concentración (Austria);;;23 de marzo de 1942
García Ponce, José;;;40;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;29 de agosto de 1941
García Prieto, Ricardo;;;31;;;Algete (Madrid);;;-;;;Gusen (campo exterminio) Austria;;;29 de noviembre de 1941
García Quintana, Juan;;;21;;; Vélez-Málaga (Málaga);;;-;;;Gusen - Campo de concentración (Austria);;;5 de marzo de 1942
García Ramírez, Juan;;;24;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;8 de noviembre de 1941
García Ramos, Miguel;;;29;;;La Carolina (Jaén);;;-;;;Hartheim;;;27 de septiembre de 1941
García Robles, Prudencio;;;23;;;Villacarrillo (Jaén);;;-;;;Hartheim;;;28 de septiembre de 1941
García Roca, Ramón;;;30;;;Fayón (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;2 de enero de 1942
García Roca, Sebastián;;;34;;;Fayón (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;19 de noviembre de 1941
García Rodrigo, Manuel;;;46;;;Avilés (Asturias);;;-;;;Gardelegen;;;14 de abril de 1945
García Rodríguez, Hilario;;;25;;;Pinto (Madrid);;;-;;;Gusen - Campo de concentración (Austria);;;25 de octubre de 1941
García Rodríguez, José;;;39;;;Baltar ? (Ourense);;;-;;;Gusen - Campo de concentración (Austria);;;19 de diciembre de 1941
García Rodríguez, José;;;27;;;O Carril ? (Pontevedra);;;-;;;Gusen - Campo de concentración (Austria);;;15 de enero de 1941
García Rodríguez, Manuel;;;24;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;31 de octubre de 1941
García Rodríguez, Mariano;;;26;;;Madridejos (Toledo);;;-;;;Gusen - Campo de concentración (Austria);;;24 de febrero de 1942
García Rodríguez, Miguel;;;39;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;6 de noviembre de 1941
García Roldán, Antonio;;;35;;;Mazarrón (Murcia);;;-;;;Gusen (campo exterminio) Austria;;;10 de agosto de 1941
García Rubia, Francisco;;;36;;;Polopos (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;12 de noviembre de 1941
García Salcedo, Julián;;;25;;;Valladolid;;;-;;;Gusen - Campo de concentración (Austria);;;5 de abril de 1942
García San Mateo, Pedro;;;36;;;Las Navas del Marqués;;;-;;;Mauthausen;;;8 de mayo de 1942
García Sánchez, José;;;28;;;Elx/Elche (Alacant/Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;21 de enero de 1942
García Segués, Fernando;;;27;;;Alcarràs (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;12 de enero de 1942
García Segura, Rafael;;;24;;;Melilla;;;-;;;Gusen - Campo de concentración (Austria);;;10 de julio de 1942
García Seoane, Pastor;;;26;;;Covas;;;-;;;Hartheim;;;23 de septiembre de 1941
García Suárez, Cayetano;;;36;;;Masegoso de Tajuña (Guadalajara);;;-;;;Gusen - Campo de concentración (Austria);;;7 de diciembre de 1941
García Treco, Manuel;;;33;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;24 de septiembre de 1941
García Valladares, Florentino;;;42;;;San Bartolomé de Rueda-Gradafes (León);;;-;;;Mauthausen (Austria);;;29 de diciembre de 1941
García Viciana, Francisco;;;30;;;Almería;;;-;;;Dachau (Alemania);;;26 de julio de 1943
García Vidal, Francisco;;;29;;;Medina-Sidonia (Cádiz);;;-;;;Gusen - Campo de concentración (Austria);;;20 de diciembre de 1941
García, Cristóbal;;;32;;;Cofrentes (Valencia);;;-;;;Flossenbürg;;;31 de mayo de 1944
García, Florentino;;;31;;;Cartagena (Murcia);;;-;;;Dachau (campo nazi);;;18 de agosto de 1944
García, Marcelino;;;41;;;Urrea de Gaén (Teruel);;;-;;;Dachau;;;3 de marzo de 1945
García, Santiago;;;0;;;Madrid;;;-;;;Buchenwald ?;;;19 de enero de 1944
García-Risco Claro, Agustín;;;32;;;Cabeza del Buey (Badajoz);;;-;;;Gusen (Austria) - campo de exterminio nazi;;;14 de abril de 1941
Garcilópez López, Bruno;;;25;;;Villaseca de Henares (Guadalajara);;;-;;;Gusen - Campo de concentración (Austria);;;27 de diciembre de 1942
Gargallo Adrián, Pedro;;;27;;;Mosqueruela (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;28 de noviembre de 1941
Gargallo Roca, Blas;;;44;;;La Jana (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;5 de noviembre de 1941
Garí Capdevila, Amadeo;;;36;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Garí Pellicer, Antonio;;;48;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;17 de octubre de 1941
Garmendia Gainza, Ignacio;;;31;;;San Sebastián/Donostia;;;-;;;Gusen (Austria) - campo de exterminio nazi;;;24 de noviembre de 1941
Garnacho Vega, Antonio;;;33;;;Madrid;;;-;;;Hartheim;;;23 de septiembre de 1941
Garrido García, Celestino;;;30;;;Santa Cruz de Mudela (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;19 de diciembre de 1941
Garrido Giménez, José;;;42;;;Cartagena - El Estrecho de San Ginés (Murcia);;;-;;;Mauthausen - campo exterminio nazi - Austria;;;26 de enero de 1942
Garrido Payán, Manuel;;;24;;;Barcelona;;;-;;;Gusen (campo exterminio) Austria;;;20 de noviembre de 1941
Garrido Rodríguez, Pedro;;;36;;;Salobre (Albacete);;;-;;;Gusen (campo exterminio) Austria;;;31 de diciembre de 1941
Garrido Romero, José;;;49;;;Córdoba;;;-;;;Gusen (Austria) - campo de exterminio nazi;;;2 de noviembre de 1941
Garrido Ruano, Francisco;;;27;;;Andújar (Jaén);;;-;;;Gusen - Campo de concentración (Austria);;;11 de mayo de 1942
Garrido Sánchez, Fidel;;;31;;;Villaviciosa de Córdoba (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Garrido, Pedro;;;55;;;Oropesa (Castellón/Castelló);;;-;;;Buchenwald ?;;;00
Garriga Arrón, Sebastián;;;31;;;Maó (Menorca);;;-;;;Gusen (Austria) - campo de exterminio nazi;;;23 de julio de 1941
Garriga Cristiá, Marcelino;;;29;;;Vilanova i la Geltru (Barcelona);;;-;;;Buchenwald;;;11 de abril de 1945
Garriga Flotats, Juan;;;42;;;Tornabous (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;28 de octubre de 1941
Garriga Planas, Josep;;;39;;;Cassà de la Selva (Girona);;;-;;;Mauthausen (Gusen) - Alemania - campo nazi ;;;25 de octubre de 1941
Garriga Riera, Enrique;;;41;;;Puig-reig (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;3 de noviembre de 1941
Garvín Delgado, Celestino;;;37;;;Navatrasierra - Villar del Pedroso (Cáceres);;;-;;;Gusen - Campo de concentración (Austria);;;15 de diciembre de 41
Gasau Pou, Joan;;;48;;;Girona;;;-;;;Mauthausen (Gusen) - Alemania - campo nazi ;;;19 de diciembre de 1941
Gasca Mendieta, Marcelino;;;35;;;Paniza (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;17 de octubre de 1941
Gascón Antio, Pedro;;;49;;;Alfajarín (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;16 de noviembre de 1941
Gascón Arnal, Pablo;;;24;;;Utrillas (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;1 de febrero de 1943
Gascón Arnal, Valentín;;;38;;;Utrillas (Teruel);;;-;;;Hartheim;;;19 de diciembre de 1941
Gascón Borrás, Julián;;;61;;;Càlig (Castellón);;;-;;;Hartheim (Austria);;;23 de septiembre de 1941
Gascón Cobo, Enrique;;;30;;;Calanda (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;3 de diciembre de 1941
Gascón Palleta, Manuel;;;38;;;Alloza (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;19 de diciembre de 1941
Gaspar Remolins, Emilio;;;25;;;Ponts (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;25 de mayo de 1943
Gauchola Bosque, Juan;;;48;;;Zaragoza;;;-;;;Gusen - Campo de concentración (Austria);;;6 de octubre de 1941 
Gaudo Peral, Vicente;;;37;;;Santa Coloma de Cervelló (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;24 de diciembre de 1942
Gavín Costán, Valero;;;42;;;Caspe (Zaragoza);;;-;;;Flossenbürg;;;31 de marzo de 1945
Gavín Usieto, Ángel;;;32;;;Alcubierre (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;7 de noviembre de 1941
Gaya Martínez, José;;;33;;;Castelló/Castellón;;;-;;;Hartheim (Austria);;;10 de septiembre de 1941
Gea Ricarte, José;;;33;;;Morillo de Liena-Foradada del Toscar (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;18 de enero de 1943
Gelabert Miguel, Juan;;;46;;;Sineu (Mallorca);;;-;;;Gusen (Austria) - campo de exterminio nazi;;;3 de agosto de 1941
Gemio Sánchez, Antonio;;;38;;;Alburquerque (Badajoz);;;-;;;Hartheim;;;24 de septiembre de 1941
Gené Llanet, Vicenç;;;52;;;Figueres (Girona);;;-;;;Mauthausen - Alemania  - campo nazi;;;17 de diciembre de 1945
Genovés Florenciano, Jesús;;;36;;;Gallur (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;14 de enero de 1942
Genovés Tamarit, José;;;31;;;Valencia;;;-;;;Gusen - Campo de concentración (Austria);;;6 de noviembre de 1941
Gijón Rodríguez, Francisco;;;26;;;Argamasilla de Calatrava (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;6 de noviembre de 1941
Gil Abella, Joaquin;;;39;;;Igualada (Barcelona) - natural de Castell de Cabres (Castellón);;;Ferroviario;;;Gusen (Austria) - campo de exterminio nazi;;;30 de noviembre de 1941 - 23
Gil Aldea, Fortunato;;;38;;;Madrid;;;-;;;Mauthausen;;;9 de noviembre de 1941
Gil Amorós, Juan;;;38;;;Monóvar (Alacant);;;-;;;Gusen - Campo de concentración (Austria);;;11 de agosto de 1941
Gil Arnau, Joaquín;;;29;;;Villarreal/Vila-real (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;2 de noviembre de 1941
Gil Blanch, Calixto;;;45;;;Peñarroya de Tastavins (Teruel);;;-;;;Mauthausen;;;29 de abril de 1942
Gil Cabezas, Antonio;;;29;;;Puente Genil (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;16 de diciembre de 1941
Gil Camarasa, Salvador;;;21;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;6 de julio de 1942
Gil Dalmau, Ángel;;;27;;;Beceite (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;19 de mayo de 1941
Gil Díaz, Tomás;;;35;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;25 de octubre de 1941
Gil Díaz, Vicente;;;41;;;Calahorra (La Rioja);;;-;;;Gusen (Austria) - campo de exterminio nazi;;;20 de noviembre de 1941
Gil Gil, Ramon;;;29;;;Beceite (Teruel);;;-;;;Gusen (Austria) - campo de exterminio nazi;;;14 de noviembre de 1941
Gil González, Joaquín;;;25;;;Navafría (Segovia);;;-;;;Gusen (Austria) - campo de exterminio nazi;;;20 de diciembre de 1941
Gil Guillén, Tomás;;;0;;;Málaga;;;-;;;Gusen (Austria) - campo de exterminio nazi;;;6 de noviembre de 1941
Gil Herraiz, Marcelino;;;28;;;Abia de la Obispalía (Cuenca);;;-;;;Gusen (Austria) - campo de exterminio nazi;;;13 de agosto de 1941
Gil Iglesias, Graciano;;;46;;;Aldea del Cano (Cáceres);;;-;;;Gusen (Austria) - campo de exterminio nazi;;;7 de octubre de 1941
Gil Longa, Amado;;;30;;;Valderrobres (Teruel);;;-;;;Gusen (campo exterminio) Austria;;;22 de diciembre de 1941
Gil Martínez, Juan;;;0;;;Olula de Castro;;;-;;;Mauthausen;;;20 de noviembre de 1940
Gil Molina, José;;;41;;;Málaga;;;-;;;Gusen (Austria) - campo de exterminio nazi;;;6 de noviembre de 1941
Gil Navarrete, Rafael;;;31;;;Alcaracejos (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;29 de octubre de 1941
Gil Sanz, Basilio;;;39;;;Sariñena (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;21 de diciembre de 1941
Gil Serrano, Máximo;;;27;;;Toledo;;;-;;;Gusen (Austria) - campo de exterminio nazi;;;31 de diciembre de 1941
Gilbert Albaladejo, Francisco;;;21;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;22 de septiembre de 1941
Giménez Arias, Doroteo;;;25;;;Villaharta (Córdoba);;;-;;;Gusen (Austria) - campo de exterminio nazi;;;21 de diciembre de 1941
Giménez Arilla, Andrés;;;43;;;Motril (Granada);;;-;;;Gusen;;;2 de diciembre de 1941
Giménez Ariza, Benito;;;28;;;Utiel  - Las Casas (Valencia);;;-;;;Gusen (Austria);;;14 de enero de 1942
Giménez Arruga, Pascual;;;29;;;Alforque (Zaragoza);;;-;;;Ravensbrück;;;27 de mayo de 1945
Giménez Baño, Dionisio;;;23;;;La Estrella (Toledo);;;-;;;Gusen (Austria);;;20 de diciembre de 1941
Giménez Castejón, Antonio;;;28;;;Madrid;;;-;;;Gusen;;;17 de diciembre de 1942
Giménez Cullell, Carlos;;;24;;;Barcelona;;;-;;;Gusen;;;5 de noviembre de 1942
Giménez Donaire, Feliciano;;;33;;;Peñalsordo (Badajoz);;;-;;;Dachau;;;13 de febrero de 45
Giménez Fernández, Saturnino;;;39;;;Talavera la Vieja (Cáceres);;;-;;;Gusen;;;14 de noviembre de 1941
Giménez Fraile, Antonio;;;36;;;Madrid;;;-;;;Mauthausen;;;15 de marzo de 1943
Giménez García, Enrique;;;26;;;Aldea del Cano (Cáceres);;;-;;;Gusen (Austria);;;22 de diciembre de 1941
Gimenez Garrido, Manuel;;;38;;;Bayarque (Almería);;;-;;;Gusen;;;18 de octubre de 1941
Giménez Garrido, Manuel;;;28;;;Níjar (Almería);;;-;;;Gusen;;;15 de enero de 1942
Giménez Garrido, Manuel;;;38;;;Almería;;;-;;;Gusen (campo exterminio) Austria;;;18 de octubre de 1941
Giménez Herrera, Juan;;;32;;;Limones-Moclín (Granada);;;-;;;Gusen;;;22 de enero de 1942
Giménez León, Manuel;;;29;;;Valdepeñas (Ciudad Real);;;-;;;Gusen;;;13 de noviembre de 1941
Giménez López, Francisco;;;25;;;Villavaliente (Albacete);;;-;;;Gusen;;;12 de diciembre de 1941
Giménez López, José;;;35;;;Fuente de Cantos (Badajoz);;;-;;;Hartheim;;;24 de septiembre de 1941
Giménez Martínez, Emilio;;;32;;;Enguera (Valencia);;;-;;;Gusen;;;30 de octubre de 1941
Giménez Mellado, Alfonso;;;31;;;Huércal-Overa (Almería);;;-;;;Hartheim (campo exterminio nazi) Austria;;;2 de febrero de 1942
Giménez Mellado, Alonso;;;21;;;Huércal-Overa (Almería);;;-;;;Hartheim;;;2 de febrero de 1942
Giménez Moreno, Domingo;;;34;;;Jayena (Granada);;;-;;;Gusen;;;10 de diciembre de 1941
Giménez Muñoz, Eusebio;;;22;;;Oropesa (Toledo);;;-;;;Gusen (Austria);;;3 de diciembre de 1941
Giménez Navarro, Francisco;;;27;;;Lorca (Murcia);;;-;;;Hartheim;;;27 de septiembre de 1941
Giménez Nogal, José;;;29;;;Madrid;;;-;;;Gusen;;;23 de octubre de 1944
Giménez Ostio, Pedro;;;28;;;Teba (Málaga);;;-;;;Gusen;;;4 de febrero de 1942
Giménez Pérez, Paulino;;;39;;;Casas de Ves (Albacete);;;-;;;Gusen;;;18 de octubre de 1941
Giménez Pinero, Serafín;;;0;;;Olula del Río (Almería);;;-;;;Gusen;;;15 de mayo de 1942
Giménez Ramírez, Manuel;;;34;;;Castro del Río (Córdoba);;;-;;;Gusen;;;4 de enero de 1942
Giménez Recacha, Camilo;;;23;;;Villarrobledo (Albacete);;;-;;;Hartheim;;;10 de septiembre de 1941
Giménez Requena, Pascual;;;29;;;La Recueja;;;-;;;Gusen;;;9 de noviembre de 1941
Giménez Rivas, Manuel;;;43;;;Puente Genil (Córdoba);;;-;;;Gusen;;;14 de noviembre de 1941
Gimenez Rodenas, Balbino;;;20;;;Castril (Granada);;;-;;;Gusen;;;2 de enero de 1942
Giménez Rodenas, Juan;;;26;;;Castril (Granada);;;-;;;Gusen;;;19 de noviembre de 1941
Giménez Rodríguez, Onésimo;;;34;;;Puertollano (Ciudad Real);;;-;;;Gusen;;;2 de enero de 1942
Giménez Romo, Dionisio;;;33;;;Villafranca de los Caballeros (Toledo);;;-;;;Gusen (Austria);;;18 de julio de 1941
Giménez Salinas, Manuel;;;29;;;Gallur (Zaragoza);;;-;;;Gusen;;;17 de enero de 1942
Giménez Sánchez, Martín;;;35;;;Madrid;;;-;;;Gusen;;;21 de diciembre de 1941
Giménez Simón, Antonio;;;41;;;Arjona (Jaén);;;-;;;Gusen;;;14 de noviembre de 1941
Giménez Torrecillas, Antonio;;;45;;;Santonera (Murcia);;;-;;;Hartheim;;;10 de septiembre de 1941
Giménez Vélez, Ubaldo;;;29;;;Santander;;;-;;;Mauthausen (Austria);;;7 de septiembre de 1941
Giménez, Eugenio;;;31;;;Agoncillo;;;-;;;Buchenwald (Alemania) ? desaparecido;;;00
Giménez, Juan;;;30;;;Ciudad Real;;;-;;;Buchenwald (Alemania) ? desaparecido;;;00
Gimeno Cervera, Pascual;;;51;;;Barcelona;;;-;;;Gusen;;;2 de noviembre de 1941
Gimeno Fresneda, Silvestre;;;26;;;Murcia;;;-;;;Gusen (campo exterminio) Austria;;;31 de enero de 1942
Gimeno Giménez, Alejandro;;;38;;;Canencia (Madrid);;;-;;;Gusen (Austria);;;10 de diciembre de 1941
Gimeno, Agustín;;;35;;;Soria;;;-;;;Flossenbürg (Alemania) - desaparecido;;;00
Gimérez Fernández, Saturnino;;;39;;;Talavera la Vieja (Cáceres);;;-;;;Gusen;;;14 de noviembre de 41
Giner Ferrer, Eduardo;;;25;;;Carcaixent (Valencia);;;-;;;Gusen;;;22 de agosto de 1941
Giner Giménez, Rufino;;;29;;;Puerto Lumbreras (Murcia);;;-;;;Gusen (campo exterminio) Austria;;;11 de noviembre de 1941
Girabau Moral, José;;;27;;;Avinyó (Barcelona);;;-;;;Gusen (Austria);;;17 de septiembre de 1941
Girbau Durán, Joaquín;;;32;;;Barcelona;;;-;;;Gusen;;;3 de diciembre de 1941
Girón Peña, José;;;43;;;Albelda (Huesca);;;-;;;Mauthausen - Campo de concentración (Austria);;;20 de marzo de 1942
Girona Prades, Clemente;;;40;;;Puig-reig (Barcelona);;;-;;;Gusen;;;19 de septiembre de 1941
Godin Giménez, Enrique;;;21;;;Jaén;;;-;;;Gusen (Austria);;;10 de enero de 1941
Godoy Fernández, Roque;;;21;;;Mengíbar (Jaén);;;-;;;Hartheim (Austria);;;19 de diciembre de 1941
Godoy Pinto, Antonio;;;32;;;Retamal de Llerena (Badajoz);;;-;;;Gusen;;;17 de enero de 1942
Gomá Solé,  Ramón;;;28;;;Tarroja de Segarra (Lleida);;;-;;;Steyr;;;24 de septiembre de 1942
Gómez Aguado, Cristino;;;29;;;Escalonilla (Toledo);;;-;;;Gusen (Austria);;;29 de noviembre de 1941
Gómez Álvarez, Ginés;;;29;;;Barcelona;;;-;;;Hartheim;;;10 de septiembre de 1941
Gómez Aranda, Eugenio;;;0;;;Pulgar (Toledo);;;-;;;Gusen (Austria);;;22 de noviembre de 1941
Gómez Arroyo, Abilio;;;24;;;Navas de Jorquera (Albacete);;;-;;;Mauthausen;;;24 de marzo de 1941
Gómez Artacho, José;;;32;;;Cuevas Bajas (Málaga);;;-;;;Gusen;;;2 de marzo de 1942
Gómez Asensio, Juan;;;25;;;Huércal-Overa (Almería);;;-;;;Gusen (campo exterminio nazi) Austria;;;5 de noviembre de 1941
Gómez Bellido, Marcos;;;38;;;Mohedas de la Jara (Toledo);;;-;;;Hartheim;;;23 de septiembre de 1941
Gómez Bellido, Quintín;;;36;;;Mohedas de la Jara (Toledo);;;-;;;Gusen (Austria);;;31 de octubre de 1941
Gómez Caballero,José;;;32;;;Alcalá del Río (Sevilla);;;-;;;Gusen;;;2 de septiembre de 1941
Gómez Cabrera, Andrés;;;38;;;San Clemente (Cuenca);;;-;;;Gusen;;;24 de marzo de 1942
Gómez Cortés, Angel;;;52;;;Camposancos-La Guardia (Pontevedra);;;-;;;Gusen (Austria);;;14 de enero de 1942
Gómez del Casal García, Guillermo;;;31;;;Burgos;;;-;;;Gusen (Austria);;;14 de octubre de 1941
Gómez Fernández, Crescencio;;;31;;;Sevilleja de la Jara - Buenasbodas (Toledo);;;-;;;Gusen (Austria);;;7 de enero de 1942
Gómez Fernández, Teófilo;;;45;;;Valladolid;;;-;;;Gusen (Austria);;;9 de enero de 1942
Gómez García, Claudio;;;24;;;Menasalbas (Toledo);;;-;;;Gusen (Austria);;;26 de abril de 1942
Gómez García, Francisco;;;24;;;Elche/Elx (Alicante/Alacant);;;-;;;Gusen;;;14 de noviembre de 1941
Gómez García, Mariano;;;41;;;Zaragoza;;;-;;;Gusen;;;19 de diciembre de 1941
Gómez García, Rufino;;;23;;;Navas de Jorquera (Albacete);;;-;;;Gusen;;;15 de diciembre de 1941
Gómez Garviz, Luis;;;25;;;Madrid;;;-;;;Gusen;;;26 de enero de 1942
Gómez Giménez, Antonio;;;35;;;Benamargosa (Málaga);;;-;;;Hartheim;;;2 de febrero de 1942
Gómez Giménez, Juan;;;37;;;Lorca (Murcia);;;-;;;Hartheim;;;24 de septiembre de 1941
Gómez Gómez, José;;;26;;;Lanteira (Granada);;;-;;;Gusen;;;14 de noviembre de 1941
Gómez Gómez, José;;;21;;;Cañete la Real (Málaga);;;-;;;Hartheim;;;2 de febrero de 1942
Gómez González, Fernando;;;20;;;Jun (Granada);;;-;;;Gusen;;;30 de diciembre de 1941
Gómez Iglesias, Francisco;;;24;;;Ferrol ;;;-;;;Gusen;;;30 de diciembre de 1941
Gómez Izquierdo, Manuel;;;37;;;Lora del Río (Sevilla);;;-;;;Gusen;;;12 de noviembre de 1941
Gómez Lacambra, Agustín;;;35;;;Zuera (Zaragoza);;;-;;;Gusen;;;4 de febrero de 1942
Gómez López, Alfredo;;;27;;;Nerva (Huelva);;;-;;;Gusen;;;17 de noviembre de 1941
Gómez López, Aureliano;;;25;;;Golosalvo (Albacete);;;-;;;Gusen;;;10 de diciembre de 1941
Gómez López, Ramon;;;33;;;Buisan ? (Lugo);;;-;;;Gusen (Austria);;;24 de noviembre de 1941
Gómez Mancilla, Juan;;;24;;;Cártama-Gibralgalia (Málaga);;;-;;;Gusen;;;3 de septiembre de 1942
Gómez Manresa, Victoriano;;;43;;;Cartagena - El Estrecho de San Ginés (Murcia);;;-;;;Mauthausen - campo exterminio nazi - Austria;;;23 de julio de 1942
Gómez Martí, Vicente;;;30;;;Almonacid de Toledo (Toledo);;;-;;;Gusen (Austria);;;22 de marzo de 1942
Gómez Martín, Teodoro;;;31;;;Móstoles (Madrid);;;-;;;Mauthausen;;;27 de julio de 1941
Gómez Martínez, José;;;36;;;Constantina (Sevilla);;;-;;;Mauthausen;;;18 de noviembre de 1940
Gómez Millán, Miguel;;;28;;;La Unión;;;-;;;Gusen (campo exterminio) Austria;;;7 de diciembre de 1941
Gomez Molina, Pedro;;;32;;;Socuéllanos (Ciudad Real);;;-;;;Mauthausen;;;22 de junio de 1944
Gómez Morchón, Antonio;;;40;;;Madrid;;;-;;;Mauthausen;;;24 de julio de 1942
Gómez Núñez, Tomás;;;35;;;Madrid;;;-;;;Gusen;;;11 de diciembre de 1941
Gómez Rebollo, Juan;;;24;;;Santa Amalia (Badajoz);;;-;;;Gusen;;;15 de enero de 1942
Gómez Rodríguez, Felipe;;;22;;;Don Benito (Badajoz);;;-;;;Hartheim;;;10 de febrero de 1942
Gómez Rodríguez, Rafael;;;24;;;Guadix  (Granada);;;-;;;Gusen;;;1 de febrero de 1942
Gómez Roldán, Francisco;;;34;;;Nueva Carteya (Córdoba);;;-;;;Mauthausen;;;30 de septiembre de 1941
Gómez Rubio, Manuel;;;41;;;Posadas (Córdoba);;;-;;;Gusen;;;21 de diciembre de 1941
Gómez Torres, Antonio;;;20;;;Pontevedra;;;-;;;Gusen (Austria);;;17 de febrero de 1945
Gómez Villegas, Francisco;;;25;;;Dalías (Almería);;;-ccc;;;Gusen;;;2 de enero de 1942
Gómez, David;;;55;;;Granada;;;-;;;Buchenwald (Alemania) ? desaparecido;;;00
Gómez, Francisco;;;32;;;Tremp (lleida);;;-;;;Eisenach (Alemania) - campo nazi;;;26 de abril de 1945
Gómez, Luis;;;59;;;Madrid;;;-;;;Flossenbürg;;;1 de diciembre de 1944
Gomis Valls, Agustín;;;61;;;Igualada (Barcelona);;;-;;;Gusen;;;27 de marzo de 1941
Goñi Ayestarán, Higinia Luz (Lucía Martos);;;37;;;Cirauqui (Navarra);;;-;;;Auschwitz II - Birkenau(Polonia);;;1 de mayo de 1943
Goñi Otamendi, Fermín;;;51;;;Pamplona/Iruña;;;-;;;Gusen (Austria);;;2 de febrero de 1941
González Abreu, Manuel;;;36;;;Silos, los ? (Tenerife);;;-;;;Gusen (Austria);;;7 de noviembre de 1941
González Alvarez, Antonio;;;45;;;Olivenza (Badajoz);;;-;;;Gusen;;;29 de diciembre de 1941
González Alvárez, Arturo;;;0;;;Pola de Laviana-Laviana (Asturias);;;-;;;Gusen (Austria);;;8 de noviembre de 1941
González Argandoña, -;;;47;;;El Salobral;;;-;;;Neuengamme (Alemania);;;27 de enero de 1945
González Argos, Angel;;;27;;;Santander;;;-;;;Gusen (Austria);;;1 de febrero de 1941
González Balcones, Florencio;;;33;;;Anguita (Guadalajara);;;-;;;Gusen;;;28 de octubre de 1941
González Cabrero, Julio;;;21;;;Cebreros (Avila);;;-;;;Gusen (Austria);;;5 de diciembre de 1942
González Cárdenas, Juan Francisco;;;33;;;Madrid;;;-;;;Alemania - campo/prisión;;;11 de junio de 1944
González Carreño, Filomeno;;;42;;;Láujar de Andarax (Almería);;;-;;;Gusen;;;26 de septiembre de 1941
González Casado, Máximo;;;40;;;Navalagamella (Madrid);;;-;;;Mauthausen;;;12 de febrero de 1942
González del Valle, Juan;;;43;;;Coruña, A;;;-;;;Hartheim;;;26 de septiembre de 1941
González Díaz, Antonio;;;50;;;Almonaster la Real (Huelva);;;-;;;Gusen;;;29 de abril de 1941
González Díaz, Carlos;;;51;;;Cebreros (Avila);;;-;;;Gusen (Austria);;;27 de junio de 1941
González Díaz, Vicentre;;;34;;;Mijares (Ávila);;;-;;;Gusen;;;4 de marzo de 1942
González Escobar, Pablo;;;34;;;Villanueva de la Serena (Badajoz);;;-;;;Gusen;;;4 de diciembre de 1941
González Espinosa, Francisco;;;40;;;Barcelona;;;-;;;Hartheim;;;2 de febrero de 1942
González Fernández, Francisco;;;37;;;Cercedilla (Madrid);;;-;;;Linz (Bombardeo);;;25 de julio de 1944
